S.No,Category,Main tag,Sub tag,Main tag 2,Sub tag 2,Main tag 2,Sub tag 2,Sub category,Sub category-2,,Title,Upload time(in yrs),Length ( min rounder to next minute),Views(In K rounded to '000s),Likes ( In K rounded to next),Singer/Narrator,Lable/Owner/YT channel,Link,Comment,,,Main tag,Sub tag,Category,Sub Category,Sub Category-2,Sub category-3,Singer,Lable
55,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,Radhe Radhe - राधे राधे - official music video | hansraj Raghuwanshi | Mista Baaz | iSur,18,9,3698,20,female,other,https://www.youtube.com/watch?v=SixsKwX2rrQ,,,,,,,,,,,
56,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,जब सब कुछ खत्म हो जाये तो ये भजन शुरू कर देना || Soulful Lord Krishna Bhajan 2020 || Ravi Raj,20,9,15329,87,male,other,https://www.youtube.com/watch?v=kUGVy9yO1F8,,,,,,,,,,,
57,Song,Krishna bhajan,Bhajan,,,,,Ultra long > 20 min,Bhajan,,श्री राधा नाम धुन || Radha Naam Dhun || Bhaiya Kishan Das || Vipul Music || MP3,16,17,4610,23,male,other,https://www.youtube.com/watch?v=2-ZEno233UU,,,,,,,,,,,
58,Song,Krishna bhajan,Bhajan,,,,,Ultra long > 20 min,Bhajan,,BADA NATKHAT HAI RE KRISHNA KANHAIYA | VERY BEAUTIFUL SONG - POPULAR KRISHNA BHAJAN ( FULL SONG ),16,54,15103,121,male,other,https://www.youtube.com/watch?v=qk0KM8MIrdk,,,,,,,,,,,
59,Song,Krishna bhajan,Bhajan,,,,,Ultra long > 20 min,Bhajan,,MADHURASHTAKAM | मधुराष्टकम् | POPULAR NEW SHRI KRISHNA BHAJAN | VERY BEAUTIFUL SONG,18,34,9606,118,male,other,https://www.youtube.com/watch?v=YIU-7ZesjTU,,,,,,,,,,,
60,Song,Krishna bhajan,Bhajan,,,,,Long 10-20 min,Bhajan,,संजय मित्तल का दर्दभरा भजन [ एक आस तुम्हारी है ] Sanjay Mittal Beautiful Bhajan ~ Saawariya,19,11,6338,46,male,other,https://www.youtube.com/watch?v=-S146TBBbg4,,,,,,,,,,,
61,Song,Krishna bhajan,Bhajan,,,,,Short < 5Min,Bhajan,,रेड रेड गजरा लगा के जब तुम | New Radha Krishna Bhajan | Red Gajra | New Krishna Song | Shilpi Song |,20,5,26192,73,male,other,https://www.youtube.com/watch?v=NisGr0i-i8M,,,,,,,,,,,
62,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,कृष्ण के दीवाने जरूर सुने - O Kanha Abto Murli Ki - Krishna Bhajan - New Bhajan 2020 #Ishwar Bhakti,20,6,31353,149,female,other,https://www.youtube.com/watch?v=MdBoxGQafac,,,,,,,,,,,
63,Song,Krishna bhajan,Bhajan,,,,,Medium 5-10 min,Bhajan,,Sham sawere dekhu tujhko kitna sundar Roop hai||Krishna new song 2021||Radha Krishna song 2021,21,7,399,2.3,male,other,https://www.youtube.com/watch?v=Dh6Mf1jTdCA,,,,,,,,,,,
64,Song,Krishna bhajan,Bhajan,,,,,Short < 5Min,Bhajan,,O Kanha Ab To Murli Ki Full Song - Beautiful Krishna Bhajan | Morning Bhajan | Krishna Radha Song,20,4,34027,192,female,other,https://www.youtube.com/watch?v=3YLog5mrAYM,,,,,,,,,,,
65,Song,Krishna bhajan,Bhajan,,,,,Ultra long > 20 min,Bhajan,,MADHURASHTAKAM,21,16,2775,40,male,other,https://www.youtube.com/watch?v=mWKw7tlMiPE,,,,,,,,,,,
66,Song,Krishna bhajan,Bhajan,,,,,Ultra long > 20 min,Bhajan,,"Dakiya~डाकिया जा रे श्याम न संदेशो दीजे, संजय मित्तल फुल भजन,dakiya jaa re,by,sanjay mittal bhajan",21,31,531,4,Sanjay Mittal,other,https://www.youtube.com/watch?v=oUqGfaPfoBU,,,,,,,,,,,
79,serial,Dharavahik,Sri Krishan,,,,,Ultra long > 20 min,TV,,रामानंद सागर कृत श्री कृष्ण भाग 1 - कलयुग का राजा परिक्षित के राज्य में आगमन,20,47,4743,29,male,other,https://www.youtube.com/watch?v=x7GvOM4zULI&list=PLFr_jkwUp0higsPRxHQ9v9xysuRnvwkPs&index=1,,,,,,,,,,,
80,,Dharavahik,Sri Krishan,,,,,,,,रामानंद सागर कृत श्री कृष्ण भाग 2 - श्री कृष्ण कथा का आरम्भ | कंस का अत्याचार | आकाशवाणी,,,,,,,https://www.youtube.com/watch?v=kpE2dUHY3uk&list=PLFr_jkwUp0higsPRxHQ9v9xysuRnvwkPs&index=2,,,,,,,,,,,
81,,Dharavahik,Sri Krishan,,,,,,,,रामानंद सागर कृत श्री कृष्ण भाग 3 - कंस राजा उग्र्सैन को मारने की साज़िश करता है,,,,,,,https://www.youtube.com/watch?v=jSJ6uLkf35g&list=PLFr_jkwUp0higsPRxHQ9v9xysuRnvwkPs&index=3,,,,,,,,,,,
